datum,PG1,PG2,PG3,LG1,LG2,LG3,TT,TP
31.07.2020_20:55,193,195,203,200,201,203,177,100
31.07.2020_21:05,187,191,199,199,198,202,172,100
31.07.2020_21:15,182,187,195,199,200,197,166,94
31.07.2020_21:25,177,183,192,198,199,201,161,84
31.07.2020_21:35,172,178,190,199,200,203,156,79
31.07.2020_21:45,164,174,186,199,201,197,151,76
31.07.2020_21:55,158,169,182,197,201,202,146,73
31.07.2020_22:05,152,164,179,196,201,204,141,71
31.07.2020_22:15,147,160,175,195,196,197,137,69
31.07.2020_22:25,142,156,172,187,181,181,133,68
31.07.2020_22:35,137,152,169,179,175,174,129,66
31.07.2020_22:45,132,149,166,173,170,169,125,65
31.07.2020_22:55,128,145,163,170,166,165,122,63
31.07.2020_23:05,125,142,160,165,160,158,118,62
31.07.2020_23:15,121,140,157,159,156,158,115,61
31.07.2020_23:25,118,137,154,157,153,153,111,60
31.07.2020_23:35,115,134,152,155,149,150,108,60
31.07.2020_23:45,112,132,149,151,147,147,106,59
31.07.2020_23:55,108,129,147,146,142,144,103,58
01.08.2020_00:05,105,127,144,144,139,141,100,57
01.08.2020_00:15,103,125,141,141,136,142,97,55
01.08.2020_00:25,100,123,139,141,136,140,95,53
01.08.2020_00:35,97,121,137,139,134,138,92,52
01.08.2020_00:45,96,118,135,139,133,140,90,52
01.08.2020_00:55,93,116,133,136,131,138,88,51
01.08.2020_01:05,91,114,131,134,129,137,86,50
01.08.2020_01:15,88,112,128,134,128,133,84,49
01.08.2020_01:25,87,110,126,131,127,133,82,48
01.08.2020_01:35,85,108,123,131,124,134,80,47
01.08.2020_01:45,83,106,122,131,124,131,78,46
01.08.2020_01:55,82,105,119,132,126,131,76,46
01.08.2020_02:05,80,103,118,132,123,129,75,45
01.08.2020_02:15,78,101,116,131,125,131,73,45
01.08.2020_02:25,75,98,112,130,124,130,72,44
01.08.2020_02:35,74,97,110,131,124,130,70,44
01.08.2020_02:45,73,95,108,131,124,129,69,43
01.08.2020_02:55,72,94,107,130,123,131,67,43
01.08.2020_03:05,71,93,105,130,124,129,66,43
01.08.2020_03:15,69,92,103,130,124,131,65,42
01.08.2020_03:25,68,90,102,131,122,125,63,42
01.08.2020_03:35,68,89,100,128,123,123,62,41
01.08.2020_03:45,67,88,99,127,120,118,61,41
01.08.2020_03:55,66,86,97,126,122,116,60,40
01.08.2020_04:05,65,85,96,126,122,117,59,40
01.08.2020_04:15,64,84,95,125,120,116,58,39
01.08.2020_04:25,63,83,93,126,118,114,57,39
01.08.2020_04:35,63,82,92,122,119,110,56,39
01.08.2020_04:45,62,80,91,122,118,111,55,39
01.08.2020_04:55,61,79,89,122,117,110,55,38
01.08.2020_05:05,61,78,88,120,117,109,54,38
01.08.2020_05:15,60,77,87,118,117,103,53,38
01.08.2020_05:25,60,76,86,118,117,104,52,37
01.08.2020_05:35,59,75,85,117,117,104,52,37
01.08.2020_05:45,59,75,84,115,116,103,51,37
01.08.2020_05:55,58,74,83,114,115,102,50,37
01.08.2020_06:05,57,73,82,113,114,101,50,36
01.08.2020_06:15,57,72,81,111,113,100,49,36
01.08.2020_06:25,57,71,80,110,112,99,48,36
01.08.2020_06:35,56,71,79,109,111,99,48,36
01.08.2020_06:45,56,70,78,108,110,98,47,36
01.08.2020_06:55,55,69,77,107,109,97,47,35
01.08.2020_07:05,55,68,76,106,108,96,46,35
01.08.2020_07:15,55,68,76,105,107,96,46,35
01.08.2020_07:25,54,67,75,103,106,94,45,35
01.08.2020_07:35,54,66,74,102,105,94,45,35
01.08.2020_07:45,54,66,73,101,105,92,44,34
01.08.2020_07:55,53,65,73,100,103,92,44,34
01.08.2020_08:05,53,65,72,100,102,91,44,34
01.08.2020_08:15,53,64,71,99,102,90,43,34
01.08.2020_08:25,52,64,70,98,101,90,43,34
01.08.2020_08:35,52,63,70,97,100,89,42,34
01.08.2020_08:45,52,63,69,96,99,88,42,34
01.08.2020_08:55,52,62,68,95,98,87,42,34
01.08.2020_09:05,51,62,68,95,97,86,41,34
01.08.2020_09:15,51,61,67,94,97,86,41,34
01.08.2020_09:25,51,61,67,93,96,85,41,34
01.08.2020_09:35,51,60,66,92,95,85,41,34
01.08.2020_09:45,51,60,65,91,95,84,40,34
01.08.2020_09:55,50,59,65,91,94,84,40,34
01.08.2020_10:05,50,59,64,90,93,83,39,34
01.08.2020_10:15,50,58,64,89,93,83,39,34
01.08.2020_10:25,50,58,63,89,92,82,39,34
01.08.2020_10:35,50,58,63,88,91,81,39,34
01.08.2020_10:45,50,57,62,88,91,80,38,34
01.08.2020_10:55,49,57,62,87,90,80,38,34
01.08.2020_11:05,49,57,61,86,90,80,38,34
01.08.2020_11:15,49,56,61,86,89,79,37,34
01.08.2020_11:25,49,56,61,85,89,79,37,34
01.08.2020_11:35,49,56,60,85,88,78,37,34
01.08.2020_11:45,49,55,60,84,87,78,37,34
01.08.2020_11:55,48,55,59,84,87,77,36,34
01.08.2020_12:05,48,55,59,83,87,77,36,34
01.08.2020_12:15,48,54,59,83,86,76,36,34
01.08.2020_12:25,48,54,58,82,86,76,36,34
01.08.2020_12:35,48,54,58,82,85,76,36,34
01.08.2020_12:45,48,54,57,82,85,75,36,34
01.08.2020_12:55,48,53,57,81,85,75,36,34
01.08.2020_13:05,48,53,57,81,84,74,36,34
01.08.2020_13:15,48,53,56,80,84,74,36,34
01.08.2020_13:25,48,52,56,80,83,74,36,34
01.08.2020_13:35,47,52,56,79,83,73,36,34
01.08.2020_13:45,47,52,55,79,82,74,36,34
01.08.2020_13:55,47,52,55,79,82,72,36,35
01.08.2020_14:05,47,51,55,78,82,72,36,35
01.08.2020_14:15,47,51,55,78,82,72,36,35
01.08.2020_14:25,47,51,54,78,81,71,36,35
01.08.2020_14:35,47,51,54,77,81,71,36,35
01.08.2020_14:45,47,51,54,77,81,71,36,35
01.08.2020_14:55,47,50,53,76,81,71,36,35
01.08.2020_15:05,47,50,53,76,80,70,36,35
01.08.2020_15:15,47,50,53,76,80,71,36,35
01.08.2020_15:25,47,50,53,76,80,70,36,35
01.08.2020_15:35,47,50,53,75,79,70,36,35
01.08.2020_15:45,47,50,52,75,79,69,36,36
01.08.2020_15:55,47,49,52,75,79,69,36,36
01.08.2020_16:05,47,49,52,75,79,69,36,36
01.08.2020_16:15,46,49,52,74,78,69,36,36
01.08.2020_16:25,46,49,51,74,78,68,36,36
01.08.2020_16:35,46,49,51,74,78,68,36,36
01.08.2020_16:45,46,48,51,74,78,68,36,36
01.08.2020_16:55,46,48,51,73,77,68,36,36
01.08.2020_17:05,46,48,51,73,77,69,36,36
01.08.2020_17:15,46,48,50,73,77,67,36,36
01.08.2020_17:25,46,48,50,73,77,67,36,36
01.08.2020_17:35,46,48,50,73,77,65,36,36
01.08.2020_17:45,46,48,50,72,76,67,36,36
01.08.2020_17:55,46,47,50,72,76,67,36,36
01.08.2020_18:05,46,47,49,72,76,66,36,36
01.08.2020_18:15,46,47,49,71,76,67,36,36
01.08.2020_18:25,46,47,49,72,76,66,36,35
01.08.2020_18:35,46,47,49,71,76,66,36,36
01.08.2020_18:45,46,47,49,71,75,67,36,36
01.08.2020_18:55,45,47,49,71,75,65,36,36
01.08.2020_19:05,45,46,48,74,74,69,36,36
01.08.2020_19:15,45,46,48,71,75,65,35,36
01.08.2020_19:25,45,46,48,71,75,65,35,36
01.08.2020_19:35,45,46,48,71,75,65,35,35
01.08.2020_19:45,45,46,48,71,74,64,35,35
01.08.2020_19:55,45,46,48,71,74,64,35,36
01.08.2020_20:05,45,46,47,70,74,64,35,35
01.08.2020_20:15,45,45,47,71,75,63,35,35
01.08.2020_20:25,45,45,47,70,74,64,35,35
01.08.2020_20:35,45,45,47,70,74,64,35,35
